"","Family","RedList","BodySize","HabitatType","HPD","ExtinctRisk","Habitat","log_BodySize","sqrt_BodySize"
"129","PARASTACIDAE","4",66.4,2,40.46296296,"Endangered","Lakes/Wetland",4.19569705648239,8.14861951498535
"130","CAMBARIDAE","4",33.3,4,27.94899713,"Endangered","Caves",3.5055573969864,5.7706152185014
"131","CAMBARIDAE","1",32.9,1,47.87387813,"Least Concern","Streams/River",3.49347265777133,5.73585215987999
"132","CAMBARIDAE","1",47.2,1,17.30572161,"Least Concern","Streams/River",3.85439389259151,6.87022561492707
"133","CAMBARIDAE","2",31.3,3,35.9929715,"Near Threatened","Burrows",3.44361809754611,5.59464029227975
"134","CAMBARIDAE","2",22,1,82.0893617,"Near Threatened","Streams/River",3.09104245335832,4.69041575982343
"135","CAMBARIDAE","1",25,2,8.324940991,"Least Concern","Lakes/Wetland",3.2188758248682,5
"136","PARASTACIDAE","1",20.5,3,5.645340751,"Least Concern","Burrows",3.02042488614436,4.52769256906871
"137","PARASTACIDAE","2",25.7,3,2,"Near Threatened","Burrows",3.24649099190117,5.06951674225463
"138","CAMBARIDAE","1",38.4,1,54.4922832,"Least Concern","Streams/River",3.64805745959368,6.19677335393187
"139","CAMBARIDAE","1",34.6,1,23.37195572,"Least Concern","Streams/River",3.54385368206368,5.8821764679411
"140","PARASTACIDAE","1",35.6,3,17.8660346,"Least Concern","Burrows",3.57234563785798,5.96657355607052
"141","PARASTACIDAE","1",31,2,0.576923077,"Least Concern","Lakes/Wetland",3.43398720448515,5.56776436283002
"142","CAMBARIDAE","1",44.7,1,41.91053212,"Least Concern","Streams/River",3.79997350161952,6.68580586017871
"144","CAMBARIDAE","1",40.5,1,43.51973194,"Least Concern","Streams/River",3.70130197411249,6.36396103067893
"145","PARASTACIDAE","1",56.6,3,7.414110429,"Least Concern","Burrows",4.03600898520914,7.52329714952161
"146","PARASTACIDAE","4",52.9,1,2.128571429,"Endangered","Streams/River",3.96840333886425,7.27323861838727
"147","PARASTACIDAE","5",65,1,7.931540342,"Critical","Streams/River",4.17438726989564,8.06225774829855
"148","PARASTACIDAE","1",27,3,5.936060809,"Least Concern","Burrows",3.29583686600433,5.19615242270663
"149","CAMBARIDAE","3",40.6,2,53.3329918,"Vulnerable","Lakes/Wetland",3.70376806660769,6.3718129288296
"150","CAMBARIDAE","1",48,4,46.6359007,"Least Concern","Caves",3.87120101090789,6.92820323027551
"151","CAMBARIDAE","1",44,3,80.96916799,"Least Concern","Burrows",3.78418963391826,6.6332495807108
"152","PARASTACIDAE","2",41.9,3,828.1597633,"Near Threatened","Burrows",3.73528582692809,6.4730209330729
"153","PARASTACIDAE","5",42.9,1,2.071428571,"Critical","Streams/River",3.75887182593397,6.54980915752513
"154","PARASTACIDAE","3",36.9,1,3.594315245,"Vulnerable","Streams/River",3.60821155104648,6.07453701939498
"155","CAMBARIDAE","1",50.4,2,36.79795493,"Least Concern","Lakes/Wetland",3.91999117507732,7.09929573971954
"156","CAMBARIDAE","1",50,2,69.22843057,"Least Concern","Lakes/Wetland",3.91202300542815,7.07106781186548
"157","PARASTACIDAE","4",54.7,1,111.3882353,"Endangered","Streams/River",4.00186370942794,7.39594483484024
"158","CAMBARIDAE","1",27.5,3,29.2424812,"Least Concern","Burrows",3.31418600467253,5.24404424085076
"159","CAMBARIDAE","5",16,4,45.92040359,"Critical","Caves",2.77258872223978,4
